"TCGA-OR-A5J2-01A-11R-A29S-07"	"TCGA-OR-A5J3-01A-11R-A29S-07"	"TCGA-OR-A5J6-01A-31R-A29S-07"	"TCGA-OR-A5J7-01A-11R-A29S-07"	"TCGA-OR-A5J8-01A-11R-A29S-07"	"TCGA-OR-A5J9-01A-11R-A29S-07"	"TCGA-OR-A5JA-01A-11R-A29S-07"	"TCGA-OR-A5JP-01A-11R-A29S-07"	"TCGA-OR-A5JR-01A-11R-A29S-07"	"TCGA-OR-A5JS-01A-11R-A29S-07"	"TCGA-OR-A5JT-01A-11R-A29S-07"	"TCGA-OR-A5JV-01A-11R-A29S-07"	"TCGA-OR-A5JW-01A-11R-A29S-07"	"TCGA-OR-A5JY-01A-31R-A29S-07"	"TCGA-OR-A5JZ-01A-11R-A29S-07"	"TCGA-OR-A5K0-01A-11R-A29S-07"	"TCGA-OR-A5K1-01A-11R-A29S-07"	"TCGA-OR-A5K3-01A-11R-A29S-07"	"TCGA-OR-A5K4-01A-11R-A29S-07"	"TCGA-OR-A5K5-01A-11R-A29S-07"	"TCGA-OR-A5K6-01A-11R-A29S-07"	"TCGA-OR-A5K8-01A-11R-A29S-07"	"TCGA-OR-A5KO-01A-11R-A29S-07"	"TCGA-OR-A5KU-01A-11R-A29S-07"	"TCGA-OR-A5KW-01A-11R-A29S-07"	"TCGA-OR-A5KX-01A-11R-A29S-07"	"TCGA-OR-A5KY-01A-11R-A29S-07"	"TCGA-OR-A5KZ-01A-11R-A29S-07"	"TCGA-OR-A5LD-01A-11R-A29S-07"	"TCGA-OR-A5LG-01A-11R-A29S-07"	"TCGA-OR-A5LH-01A-11R-A29S-07"	"TCGA-OR-A5LJ-01A-11R-A29S-07"	"TCGA-OR-A5LK-01A-11R-A29S-07"	"TCGA-OR-A5LL-01A-11R-A29S-07"	"TCGA-OR-A5LN-01A-11R-A29S-07"	"TCGA-OR-A5LO-01A-11R-A29S-07"	"TCGA-OR-A5LP-01A-11R-A29S-07"	"TCGA-OR-A5LS-01A-11R-A29S-07"	"TCGA-OR-A5LT-01A-11R-A29S-07"	"TCGA-OU-A5PI-01A-12R-A29S-07"	"TCGA-PA-A5YG-01A-11R-A29S-07"	"TCGA-PK-A5H9-01A-11R-A29S-07"	"TCGA-PK-A5HA-01A-11R-A29S-07"
"TUBA1B"	26227.5687	23634.0216	13962.9059	29004.0072	55038.4003	14690.4336	25193.9693	22581.1462	22878.7371	22423.9549	20986.673	21414.7092	10421.018	28524.6708	30720.5374	16606.8658	23855.5798	19558.8357	26152.2472	14186.587	10937.1429	12851.0885	22638.6364	16632.5696	24784.8522	16005.2008	37766.5789	32178.5273	15064.4369	22724.2271	26272.776	20339.6728	15552.8814	5398.8216	9661.1561	8681.7107	18267.7477	10576.2629	17885.5017	18106.4994	15654.6833	8552.6337	12493.3738
"MYH11"	502.8572	82.6011	6.438	628.2792	40.2196	242.1441	869.0275	74.5323	144.5164	41.7499	227.8479	351.6407	359.2979	77.6892	8.2082	67.4841	566.3192	154.1009	49.1243	7.4093	108.6522	61.5239	515.9185	44.089	238.4447	53.4417	115.7277	139.2909	269.5522	164.9232	49.1624	225.5776	73.8983	22.9939	93.3295	1065.2523	1308.3041	4.1403	101.8878	58.2782	271.706	1473.3421	42.4972
"NF2"	663.9375	987.113	639.3321	527.8781	918.3589	573.5466	993.129	1251.2077	340.8451	1732.5194	473.7652	226.3759	589.7323	639.9463	483.6272	1295.9831	544.06	910.7374	977.1074	693.1557	1493.1853	1076.9231	644.3299	852.9247	852.1669	492.8298	1235.6392	860.6061	2544.0977	664.3158	1138.2936	919.708	847.4576	942.7247	675.1445	787.6021	727.6927	716.9236	367.3469	887.6853	623.2085	754.0783	422.2712
"DVL3"	5784.1881	1850.3925	831.0199	3048.937	1569.0012	2023.9023	1767.9704	1539.7453	2193.4272	1581.576	1675.7077	1684.839	1497.5867	2505.5979	1631.5701	872.6216	1369.673	1487.7102	1367.6143	2394.1203	1607.2691	1651.6691	3093.2521	1418.8002	1466.1806	1680.2103	2549.6403	1904.8485	2962.0081	1942.8961	1235.081	3269.0662	2869.4915	1332.137	2208.0925	2445.9395	1605.2433	2186.6847	2477.0408	2439.5667	2498.8442	1671.1158	2353.3627
"PTCH1"	252.4493	133.9061	51.9737	180.5054	426.0257	371.2584	341.9662	125.6039	238.9671	133.5553	168.1867	161.4746	432.6459	31.348	123.5936	162.7907	167.2757	97.0246	721.6252	31.695	97.4255	391.8723	315.8388	155.485	265.1546	1072.6577	293.0825	83.6364	97.6934	337.163	157.4531	59.9044	57.6271	145.9548	86.7052	578.568	73.1659	82.6698	229.5918	431.0148	155.3398	268.6906	281.6979
"NRG1"	0	0	0	0	0	2.0399	0.5285	3.0742	4.2254	0.37	37.4275	12.4611	0	0.4478	110.8312	76.1099	0.8281	6.4683	11.7656	0	0	0	0.4686	5.9802	1.6201	1127.1511	3.9845	37.5758	13.5685	0.455	12.9667	0	22.0339	0.5982	0	0.4805	34.8199	0.6776	45.068	16.5336	69.8104	15.3537	0
"KRT5"	0.8053	1.185	0	0	0	0	0.5285	0.4392	0	0	0	0.5192	0	0.4478	0	0	0.8281	0	2.2411	0	0.5048	0	0	0.7475	0	0	0	1.2121	0	195.1996	286.1943	0.5034	0	0	0	0	0	0	0	0	0.4623	0	1.6538
"ARAF"	1640.7188	1842.69	1328.9612	701.5644	2822.6274	795.5537	2337.7378	656.5657	1723.4742	1311.8757	1994.0779	2171.3396	1783.6771	1726.8249	1757.8505	1441.8605	1198.2569	1558.8616	2805.8223	1295.8199	1545.684	854.8621	1323.3365	1983.1807	1411.0976	1266.2524	812.3962	1003.0303	521.0312	1336.8217	1995.9502	1678.3287	1138.9831	1066.547	1268.2081	2561.7492	2238.1728	1779.4342	981.2925	2136.26	2495.1456	1971.5607	2110.2536
"RPS6KB1"	667.5612	703.3032	675.6577	519.0533	638.6241	697.2995	605.1797	819.9385	697.6526	469.8483	656.1649	584.6314	634.4888	1153.1572	664.9874	651.1628	527.498	640.3622	528.3328	562.701	845.0278	522.4964	590.9091	1236.4044	703.1187	684.9904	695.0747	567.2727	559.0231	500.5119	633.5174	589.479	625.4237	1006.1313	845.0867	606.4392	585.7683	668.8125	1351.1905	541.6192	550.6241	821.0765	404.6307
"MYH9"	20642.8598	12633.3876	11057.5385	9377.4569	16131.7862	7842.324	15625.2643	17204.6552	8420.1878	19212.3566	15249.0821	12244.0291	15011.4085	19705.3292	28335.8522	19729.9154	17781.7342	9293.6611	6534.9663	11093.7069	12961.6355	7635.7039	13060.9185	8388.7124	8722.5597	7481.3576	17386.1649	13689.0909	11124.8304	6853.3728	10854.0791	8954.4425	11949.1525	8125.0187	9298.2659	12355.5983	23250.4633	10785.7022	7329.932	11344.3558	12444.7527	16965.1924	23641.6759
"NOTCH3"	901.0868	804.029	523.6487	1438.4276	3686.2826	1567.6488	1737.315	847.6065	1604.6948	502.7747	1625.0148	1006.2305	1050.8995	1120.4657	1045.8438	131.0782	2698.7692	584.7348	846.565	276.5273	478.5462	1024.6734	873.0084	405.9054	582.152	447.4187	1612.839	1526.6667	691.9946	684.3363	582.1136	646.3629	737.2881	268.5808	508.6705	1967.3234	2749.8937	235.8123	302.7211	1249.7149	1874.711	1942.9469	2726.0198
"KRAS"	1052.0732	943.2677	364.3746	413.1568	966.8462	915.9067	928.1184	934.1238	653.5211	731.7795	730.0722	625.649	1583.1505	2756.3815	702.6029	1144.2918	604.5111	697.2833	703.1364	514.0101	1214.0333	1021.7707	519.2127	1083.162	960.1728	282.5048	1000.5534	1293.3333	241.5197	781.7086	998.4382	1236.8487	827.1186	957.0809	537.5723	618.4527	777.9391	853.8032	1156.4626	1088.3694	992.1405	699.2934	551.2679
"PDK1"	205.3415	1838.5424	442.6145	217.4087	416.494	90.7747	607.8224	963.5485	303.2864	1339.9926	368.1156	564.9013	254.9364	2004.9261	1716.2049	1908.0338	259.1945	569.2109	294.701	1562.2416	339.7274	79.8258	273.6645	535.9746	1181.045	687.3805	449.3636	1567.8788	278.1547	625.6399	722.4321	432.9222	188.1356	503.0656	123.6994	887.5541	157.7916	118.5838	576.5306	206.3854	273.2316	562.5055	70.011
"MAP2K1"	1127.1758	1966.4702	982.7383	1039.294	1823.0999	852.7826	2101.2104	1247.5538	1237.6244	1900.0962	1028.857	1565.3894	1811.9263	2813.0094	1298.2972	1453.1554	1149.1672	1154.8124	878.1249	1769.3156	960.2625	643.5849	1150.1312	2284.8365	2951.1003	658.0306	1293.2905	832.9576	185.2103	1096.6898	927.5472	742.5271	844.1525	1630.5309	1059.4566	2389.0918	1037.5681	1086.2816	1143.5204	1097.9247	1016.1951	983.6762	1252.806
"PRKAA1"	812.5081	803.4365	812.0188	614.1195	1292.5818	1668.283	736.7865	870.0044	1764.3192	973.7329	1685.6568	1257.0093	2219.8333	2515.0022	2109.8237	847.7801	1348.1425	1296.2484	1368.7348	541.1116	747.6022	1354.1364	1320.5248	988.974	1138.9226	757.6482	760.155	912.7273	610.5834	1050.1649	1052.6206	1090.3599	1525.4237	802.1534	1391.9075	971.6482	1423.6507	1180.4167	3187.0748	976.0547	1814.147	1593.6491	809.8126
"FOXM1"	835.8446	223.3862	27.0766	2103.1087	2137.6461	433.8624	1956.5592	977.7075	491.3709	946.2449	629.8519	384.4964	99.0171	1645.5979	772.1444	609.2072	656.3831	331.3066	1133.4502	392.9995	245.3256	283.3237	807.8444	229.0413	1078.2935	434.8614	2150.7958	2721.8182	500.1221	144.3886	165.1035	1212.7964	237.0169	20.4755	86.4971	411.9414	168.4844	424.9365	451.7092	264.4812	89.3897	68.1253	157.7619
"COL6A1"	4396.3212	5677.9736	1915.2019	1506.2174	45990.8827	5542.0177	1930.2326	6655.6873	13486.385	1962.6341	7449.4848	7578.92	636.6828	1682.0421	4327.1201	390.592	4684.5467	1521.3454	8913.3041	2799.265	1071.1762	4232.2206	4522.9616	3532.7976	4499.5275	1826.0038	1956.8345	8698.7879	3402.9851	2204.9824	1684.7487	5262.0186	7266.1017	1184.9858	8544.5087	1924.5555	11571.6795	705.404	3125	1287.3432	5645.8622	4162.9591	33562.8445
"STAT5A"	1369.3459	419.4934	1522.8845	388.2872	1194.3639	741.1569	459.8309	319.7189	1501.4085	277.0995	2188.7955	3159.9169	504.1685	230.6314	634.7607	42.8118	815.6759	733.5058	2726.8245	876.8948	1317.5164	362.8447	383.7863	662.3061	375.8607	2044.4551	169.5628	1779.3939	386.7028	594.6991	2371.5223	842.1847	855.9322	1284.2829	2200	245.555	1040.6313	649.8391	675.1701	492.0182	1928.3403	1551.7753	937.1555
"XIAP"	1371.7617	2055.3992	689.6292	718.8127	1179.8591	1111.0554	1628.4355	917.4352	1583.5681	1631.5205	1979.865	2044.6521	1977.183	998.6565	2078.9253	997.8858	1736.5201	1534.282	2365.4516	453.8356	1523.9778	1217.7068	1960.1687	1581.0129	1992.7096	1173.9962	1066.0764	876.9697	1025.7802	1366.8525	1733.837	1408.5074	2069.4915	1582.1744	1246.2428	2344.5459	2076.8551	1619.5155	1642.8571	1553.5918	1889.9676	1259.7051	1966.9239
"NDRG1"	1089.5178	8018.3676	717.572	1324.5086	7243.6801	950.5847	8789.1121	2434.3434	1450.7042	2482.057	4981.1678	1757.0093	863.0978	4875.056	7501.5953	13338.2664	991.2325	1688.2277	1559.2259	4458.8884	3123.6749	393.3237	2613.8707	13710.3345	17950.5873	7069.7897	1297.1776	7039.3939	265.943	2764.6457	1087.816	5213.189	1330.5085	2068.4911	726.0116	4279.6732	3121.4533	273.0815	6732.9932	1723.4892	2079.9815	3525.0807	2078.8313
"PGR"	125.6207	195.888	172.6867	2.8079	0.8288	256.9843	282.1512	482.5121	2.8169	607.4436	202.6152	220.9761	866.2527	1034.0349	350.1662	0	129.1832	109.9612	174.1817	786.169	395.7597	107.402	381.2324	296.767	448.9051	445.8078	542.1981	614.903	881.2076	151.9736	251.4619	185.2504	93.2203	315.8367	78.6821	650.4181	137.5167	373.9183	45.3997	785.4162	12.4827	176.8752	26.4609
"GAB2"	1579.519	221.0043	880.7581	953.4697	1170.7418	734.6973	221.4588	376.8116	383.0986	623.0115	186.1897	721.1838	342.2554	636.3636	197.4811	526.4271	308.0522	236.74	179.846	398.2545	207.9758	178.5196	350.0469	281.8165	211.6916	1328.8719	881.0183	146.0606	299.8643	190.6495	285.7312	621.6965	425.4237	83.7446	168.7861	1220.0865	468.9673	378.1128	280.6122	515.9635	425.3352	750.5889	836.8247
"YWHAB"	10627.0264	4742.4085	8153.1603	5095.4673	6159.5524	9109.7703	5153.8055	6432.5867	9969.4836	7917.4991	9626.9099	15424.1952	12979.8157	7969.0999	11613.0982	5054.9683	9192.7086	7368.6934	10626.6038	6582.9123	7898.0313	6698.1132	5756.3261	8153.9899	4716.6194	8668.738	7348.3121	7991.5152	3123.4735	5982.0271	6282.3806	5918.4495	8098.3051	6082.2491	6240.4624	3704.469	9162.0516	10440.7928	7059.5238	9450.3991	8186.7776	6449.2716	8921.1687
"PIK3R2"	1585.7235	4952.9788	1977.995	1866.5864	1992.5404	3846.1963	4970.4598	5970.5226	5076.2066	1763.3407	7119.8673	1215.6282	1565.0373	1052.8437	5859.5668	3176.5328	3839.6058	2972.4968	7492.7837	1787.7814	3545.4215	2648.4761	2249.6439	4100.3102	3717.1324	1878.5086	4774.964	3090.5758	14259.6879	1309.0661	2567.0745	3583.2268	5742.2881	1722.967	3871.0751	2976.963	4587.2757	1399.5392	5046.6327	1884.561	5088.5853	5114.7309	3238.6439
"ANXA1"	551.6036	1570.7303	3804.1375	316.085	7315.3751	394.717	2099.3658	388.6693	4617.8404	129.1158	4028.8997	861.8899	2900.3949	4403.9409	5567.0865	67.6533	5602.0785	2112.5485	1951.4136	2474.5062	360.424	1416.5457	866.9166	1240.142	1673.012	129.5411	1919.6458	578.1818	301.2212	753.9529	534.4145	316.1339	4508.4746	700.4636	3635.8382	234.0221	7143.3766	71.8279	15448.9796	2208.0958	3333.3333	634.04	871.5546
"EZH2"	326.5332	190.194	30.7371	747.6935	426.4401	66.2961	383.7209	501.0979	168.0751	305.9563	124.6003	97.6116	148.3107	319.7492	126.9521	131.0782	273.2721	107.3739	224.1072	150.6661	39.8788	158.2003	581.537	110.6335	234.9129	180.2103	423.2429	863.0303	175.0339	180.1843	66.2229	284.4198	74.5763	69.9865	73.9884	127.8232	79.3366	201.9312	81.6327	176.7389	107.7208	47.806	118.5226
"RAB25"	1.2079	0	0.5589	0	0.8288	0	2.1142	0	0.939	0.7399	0	0	0	0	0	1.0571	0	0	0	0.4593	1.5144	0	0	0	0	1.912	0	0	0	3.6401	2.7786	0.5034	0	0	0	0	0	0	1.7007	0	0	0.3489	0
"ERCC1"	812.1055	1707.4152	1104.3008	1961.797	1282.6357	1536.0307	1371.9239	1546.3329	852.1127	672.2161	706.384	758.567	928.4774	697.2682	878.5894	898.5201	849.6279	1360.9314	836.3457	1984.3822	1373.5487	1352.6851	1199.6251	1094.3749	1340.7857	1705.0191	2045.0647	1166.6667	1294.4369	1409.6235	659.1822	2448.4571	1901.6949	738.7468	1065.896	1283.037	1863.9686	1260.2202	1625.8503	923.6032	1892.7416	600.8898	1173.6494
"BAX"	558.0457	1530.4399	724.2783	769.7553	1710.3191	1048.499	1547.5687	912.1651	1008.4507	1471.3282	882.1509	1060.7477	643.7034	1194.8052	1059.2779	1163.8478	1347.3144	1536.8693	529.4533	1607.2577	1454.316	1454.2816	877.6945	940.385	2541.9198	2481.8356	1048.3675	1020.6061	1143.8263	1410.0785	975.2833	949.4085	1100	235.083	706.3584	1082.172	1367.2336	798.2382	1068.0272	859.7491	1405.4554	803.6291	1259.0959
"BID"	92.2507	105.0215	246.2378	170.4934	770.286	252.6869	122.3467	231.4229	118.108	250.4403	121.4829	216.8588	104.8311	181.3883	117.817	133.7579	225.3915	310.8668	80.7963	269.5682	198.1878	397.1843	194.8454	74.4235	107.1365	176.9407	269.1267	253.2545	238.711	221.5903	200.4518	619.6577	642.5932	38.9532	325.5954	194.8294	165.7738	185.8242	76.2245	104.8746	205.3629	122.7253	254.4432
"ARID1A"	2677.8947	1608.0581	1124.4197	1514.2399	1516.7841	1886.2103	1618.3932	2089.5916	1963.3803	1200.5179	1478.6213	1886.2928	1509.434	2100.7613	1700.084	753.1712	1200.7411	936.6106	1581.6367	951.7685	1036.8501	695.2104	1546.3918	1200.5233	1337.1135	1466.5392	1565.0249	1352.7273	428.7653	732.5674	1008.6263	1425.1196	1169.4915	1337.5206	959.5376	1900.0481	1855.1535	1618.1603	1148.8095	1712.0867	1384.1886	2014.8303	1816.9791
"TFRC"	1032.3443	2160.2726	2433.262	1523.4657	4523.4148	218.9473	7927.0613	2307.422	1696.2441	2324.4543	1491.8868	7223.2606	1037.7358	20330.4971	1296.3896	555.4968	512.5923	803.3635	2809.7442	5512.1727	560.3231	476.0522	3392.6898	317.6976	2808.6945	291.109	1600.4427	2473.9394	541.384	1730.4061	1773.6634	1550.4656	828.8136	3081.8005	1238.1503	873.6185	1081.1811	575.9783	571.4286	1793.6146	813.6847	4335.6887	1861.0805
"HSPA1A"	6617.2545	11646.0258	13846.9599	21514.7934	2539.5773	9558.5306	12769.7252	19333.9438	8022.3615	59475.7788	5824.9437	31245.3063	19592.7029	7870.8509	13136.2418	30048.4302	11324.8357	13079.586	7829.1855	12253.5324	6936.8905	9420.8999	15443.1022	10829.7739	11912.5152	9487.9015	14183.8716	112163.5879	729.9864	26690.0421	9738.945	9827.8178	7854.8475	11508.1681	8234.1272	22219.6396	9706.7853	8694.745	4566.2925	7894.7834	8584.9376	3135.7515	13373.5612
"PXN"	3133.7327	7058.421	4276.3435	3205.014	6913.6179	1662.6903	5362.5529	3094.6816	8634.7371	2897.4251	11079.8673	7033.053	3188.8767	10394.9575	13716.3728	4784.2389	8234.1528	5768.7193	9725.4182	4692.6826	1936.2645	5186.3425	2055.3749	6227.9424	7889.9419	3920.7122	1221.7333	3626.7939	3887.1099	2887.1983	9721.037	1301.1326	7619.6102	2759.4676	5070.5665	4061.211	6496.6998	3585.5531	4530.051	3330.878	4561.8262	3800.1047	7533.4068
"CCNE2"	16.0408	17.7751	5.5886	39.7112	134.1981	46.5773	76.1469	84.7563	63.0516	250.4107	92.1142	18.2191	18.4291	191.9973	122.9219	53.6892	106.1124	27.2704	298.3483	17.0648	23.7254	53.701	474.194	15.7802	65.5974	19.2878	59.7676	441.9455	69.7558	37.0015	5.5803	111.6889	16.9492	4.1932	30.3468	15.8578	17.6303	32.0447	76.5306	13.7457	10.6981	12.2795	68.0375
"PTGS2"	19.7289	3.555	3.3531	8.0225	78.3257	6.1196	38.055	317.5231	3.7559	24.7873	1.8951	167.1859	2.6327	268.249	8.7322	1.5856	8.281	14.2303	0.5603	5.5122	17.163	0	1.4058	5.2327	9.1805	0.478	19.4798	73.9394	0	12.7403	9.2619	3.5238	18.6441	8.9726	8.0925	12.494	12.3412	0.6776	7.6531	37.0582	59.1771	33.848	4.9614
"ERRFI1"	138.9075	529.1068	3961.7351	261.1312	2493.162	947.1849	791.2262	467.2815	312.6761	237.1439	1807.4144	1246.1059	2035.9807	696.8204	469.5214	412.7907	682.3522	1205.6921	584.9198	282.4989	242.3019	674.8911	1692.1275	261.6333	626.9745	10313.5755	423.2429	647.2727	81.4111	972.3581	1508.3085	392.6504	242.3729	1921.9381	804.6243	1057.6646	487.9199	321.1926	660.7143	452.1095	541.3777	6449.9695	520.9482
"SYP"	118.776	5436.8242	1651.4215	4063.3775	51.3883	244.7858	10383.7209	2029.8639	327.23	5947.8357	379.0122	19362.9283	963.5805	1613.5244	192.1075	2234.1438	6142.8261	5417.8525	472.306	3172.7147	3959.1116	6851.9594	683.224	1995.8886	10895.6393	8336.5201	5940.4538	1019.3939	42.0624	3192.3558	34867.9998	8231.0597	766.1017	1563.6309	175.7225	23609.3224	517.8915	11813.6541	156.4626	5490.3079	447.5266	50.5976	4725.4686
"PARP1"	3666.3523	1882.9803	1948.1744	3082.6314	2777.4554	1275.2658	2320.8245	2612.6482	2249.7653	2886.7925	2191.1643	2880.5815	862.6591	2741.6032	1953.9882	5528.0127	2053.6814	1235.4463	2735.7888	3506.2012	3172.1353	869.3759	1507.0291	1406.0923	1704.3337	1517.2084	1685.4455	2660	1245.5902	1353.2021	1437.9177	1420.589	1025.4237	1576.7908	1253.1792	1420.4709	2094.0447	2146.7051	1227.0408	1225.7697	1865.0023	7175.434	1841.7861
"RBM3"	2907.394	5946.3783	1394.3474	2019.2539	5227.1032	2943.5488	8087.2093	2762.8458	5799.5305	4497.9652	4118.9151	3286.0852	4225.0987	3583.5199	4261.293	1102.0085	4404.6498	5231.5653	3553.7801	971.5204	5323.574	5168.3599	7343.0178	5723.7899	3990.8195	1282.9828	2865.7443	4123.6364	2732.7001	4649.7554	5356.1857	6919.2046	7372.8814	3492.7471	3861.2717	3974.5315	5562.3751	4377.4352	3241.4966	3183.0103	8795.6542	2680.9736	11284.4542
"CASP9"	296.336	494.7415	508.0007	738.0666	336.0961	404.9165	602.537	294.686	285.9155	352.5712	413.5971	173.4164	329.5305	663.6811	265.995	1456.6596	293.9746	455.3687	390.5068	1423.978	309.9445	190.1306	278.3505	627.92	456.8651	608.9866	794.2446	587.2727	1297.1506	326.6978	386.2233	360.9363	335.5932	800.9571	441.6185	450.2643	270.6259	375.4023	552.7211	260.5473	263.0606	268.3416	263.5061
"CASP3"	645.8191	404.6808	497.9413	967.509	1111.0651	876.809	335.6237	844.5323	709.3897	212.3566	659.4812	427.3105	849.0566	594.7156	475.5668	822.4101	416.533	275.5498	741.7949	926.5044	760.7269	705.3701	942.8304	953.0929	463.3455	830.7839	873.9347	1396.9697	633.6499	683.4262	646.021	667.0023	445.7627	413.3393	809.2486	1020.6631	241.095	313.7388	500.8503	603.7628	276.9302	708.0171	336.8247
"NAPSA"	4.0263	5.925	3.912	13.2371	10.3605	5.4397	12.1564	0.8783	0.939	7.3992	1.8951	4.1537	1.7552	0.4478	3.3585	1.0571	1.6562	0	5.0424	0.9187	4.0384	4.3541	9.3721	5.9802	32.4018	34.8948	11.0681	0	2.7137	0.455	4.1679	3.5238	1.6949	0.5982	3.4682	24.5074	1.3223	10.1643	8.5034	3.4208	2.3116	7.3279	8.8203
"SYK"	66.0314	28.4402	295.0763	19.655	1006.6308	34.678	67.1247	31.1814	213.615	11.8387	47.3765	670.8204	79.4208	82.4004	119.5634	2144.8203	62.1073	148.771	36.4174	54.203	119.1318	71.1176	8.4349	25.4158	37.8021	58.3174	168.6774	38.1818	28.4939	161.9838	83.3575	82.0539	700	27.5161	250.8671	11.0524	324.3984	17.6182	45.068	69.5553	589.9214	148.6522	517.6406
"RPTOR"	1260.825	1422.5981	1847.0214	1754.4886	1223.7878	1762.4507	1253.9482	4857.6856	1341.784	1081.7573	1208.1014	976.6355	798.5959	3547.6803	948.4467	2708.7579	718.7057	805.6145	1067.8709	3051.5296	2078.6926	666.0813	604.4986	1406.0848	1233.4278	1088.5086	710.9906	968.3515	2798.6839	650.2104	1047.0171	1317.3521	581.339	1234.0362	1004.6243	938.0106	982.0104	939.1157	825.6803	904.7834	662.9681	1053.8254	1264.5976
"SETD2"	3512.1448	1283.9579	1060.71	1117.9302	1022.7932	1231.4084	1214.5877	895.9157	2045.0704	1474.2878	1138.9317	1656.2825	1256.6915	1493.9543	1626.8682	1730.9725	1130.3529	1015.5239	1057.2258	776.2977	1626.9561	879.5356	1393.627	744.5337	1376.5357	1549.7132	1490.2048	1903.0303	1131.6147	1601.638	1039.6539	1226.2774	1935.5932	1614.4758	1285.5491	1135.9923	1193.5746	741.9956	1413.2653	895.0969	1207.1197	2243.0428	1921.1687
"ANXA7"	6393.7705	2997.4819	2822.2263	4228.6402	2740.9863	3068.6616	2362.0507	3454.1063	2280.7512	3273.3999	2502.9018	2934.5794	4677.4901	1967.7564	2641.1419	3348.3087	2049.5409	2655.8862	1962.6189	2482.7745	3319.5356	3853.4107	1992.5023	1388.1517	3003.1052	2675.4302	4156.2811	1355.7576	1533.2429	4195.1996	2413.2011	3501.636	2018.6441	4893.0761	2906.3584	3847.1889	2746.8084	4501.4399	2962.585	6994.2987	3132.6861	1955.858	4360.5292
"BAD"	821.3056	1016.9575	1102.6913	1804.2519	1486.4981	1475.1062	1156.1945	982.9556	1164.2629	1106.552	1214.014	530.3894	818.4247	1030.0224	914.7137	1800.6501	1238.6432	1614.282	889.4535	1719.8852	607.0621	1664.5573	816.8463	1493.9862	1001.9441	1437.9015	1420.0553	1055.4667	1224.8168	2289.4187	1041.0478	1179.9899	1530.2881	1098.0529	1325.8844	328.4623	1135.2755	633.793	1463.3588	519.0536	1315.5617	618.2291	1090.8104
"SNAI2"	387.3304	212.7092	163.745	250.3008	3104.8487	940.7253	282.241	884.9363	913.615	543.1003	356.7452	293.8733	169.8113	61.8003	319.0596	1719.8732	282.3812	116.4295	392.7479	275.1493	245.8354	317.852	380.0375	1179.5926	1006.6154	264.3403	636.1926	1352.7273	2058.3446	262.9962	61.1289	187.264	108.4746	249.4392	277.4566	255.1658	195.2561	80.637	501.7007	301.5964	138.6963	2201.5179	146.086
"MSH2"	498.859	496.519	499.6179	990.373	477.414	363.4389	568.7104	570.4875	520.6573	687.0144	406.9643	417.9647	350.1536	1142.4093	533.3333	423.8901	543.2319	338.9392	653.2725	389.0675	637.052	323.6575	784.4424	302.7472	595.6528	319.3117	800.4427	927.8788	382.6323	120.5779	483.9369	127.8631	161.0169	325.4075	236.9942	820.7593	393.1568	462.1379	374.1497	316.9897	379.1031	407.9211	259.0959
"CASP8"	450.1408	343.0603	623.6841	929.0012	390.3854	235.9463	231.5011	309.6179	466.6667	541.2505	349.6388	460.54	254.9364	589.7895	560.8732	550.2114	523.3575	232.859	528.893	538.8149	664.8157	120.4644	269.447	459.7272	314.8373	972.2753	331.5993	392.1212	432.8358	187.0094	445.0367	210.4203	330.5085	420.5174	339.8844	338.7794	317.787	330.6793	354.5918	285.0627	194.6371	692.3144	280.5954
"PREX1"	619.6482	599.0224	2962.4993	1195.347	2309.5731	1052.5788	1590.9091	691.2604	4392.0188	777.6545	3648.4662	3640.7061	1641.9482	1453.202	3569.4374	1531.7125	5566.4703	2727.0375	3391.3024	1225.9991	1417.9707	2233.672	995.314	892.5434	1590.3875	4436.9025	1003.2097	741.8182	2172.3202	962.8029	1576.3839	1583.1865	2489.8305	1015.7021	1721.3873	808.2653	4383.7862	610.537	2130.102	924.1733	1951.9186	2337.9569	2122.9327
"RET"	23.7552	187.824	5.5886	445.2467	8.2884	16.3191	44.926	93.9833	39.4366	5.1794	13.2654	0	0.8776	1.7913	6.0453	8.4567	31.4677	5.1746	6.1629	4.5935	35.8405	50.7983	73.5708	1.495	5.9403	61.1855	373.2153	3838.1818	47.4898	2.2751	27.3228	82.5573	3.3898	0.5982	13.8728	22.1048	47.6019	315.094	7.6531	431.5849	13.8696	353.1362	14.333
"TFF1"	0.4026	1.7775	0	0.8022	0	0	0	629.3368	0	0	0	1.0384	0	2.2391	0	2.1142	0	0	0.5603	1.378	1.0096	0	0.4686	0.7475	0	254.3021	0	0.6061	0	0	2.3155	0	6.7797	0	1.1561	0	1.3223	0	0	0	0	0	3.8589
"CDKN2A"	684.8743	106.6509	106.7416	465.3028	1790.7169	771.7551	557.0825	738.2521	516.9014	322.9745	360.5354	374.8702	14.0412	660.9942	536.6919	247.8858	311.3646	367.3997	878.5003	514.0101	206.4614	410.7402	1814.9016	147.2622	172.8095	1138.1453	1612.3962	3.0303	1398.9145	14.5603	333.4302	268.8145	711.8644	140.5713	117.9191	386.3527	121.2086	186.3459	519.5578	129.4185	213.1299	110.9657	1253.032
