"TCGA-OR-A5J2-01A-11R-A29W-13"	"TCGA-OR-A5J3-01A-11R-A29W-13"	"TCGA-OR-A5J6-01A-31R-A29W-13"	"TCGA-OR-A5J7-01A-11R-A29W-13"	"TCGA-OR-A5J8-01A-11R-A29W-13"	"TCGA-OR-A5J9-01A-11R-A29W-13"	"TCGA-OR-A5JA-01A-11R-A29W-13"	"TCGA-OR-A5JP-01A-11R-A29W-13"	"TCGA-OR-A5JR-01A-11R-A29W-13"	"TCGA-OR-A5JS-01A-11R-A29W-13"	"TCGA-OR-A5JT-01A-11R-A29W-13"	"TCGA-OR-A5JV-01A-11R-A29W-13"	"TCGA-OR-A5JW-01A-11R-A29W-13"	"TCGA-OR-A5JY-01A-31R-A29W-13"	"TCGA-OR-A5JZ-01A-11R-A29W-13"	"TCGA-OR-A5K0-01A-11R-A29W-13"	"TCGA-OR-A5K1-01A-11R-A29W-13"	"TCGA-OR-A5K3-01A-11R-A29W-13"	"TCGA-OR-A5K4-01A-11R-A29W-13"	"TCGA-OR-A5K5-01A-11R-A29W-13"	"TCGA-OR-A5K6-01A-11R-A29W-13"	"TCGA-OR-A5K8-01A-11R-A29W-13"	"TCGA-OR-A5KO-01A-11R-A29W-13"	"TCGA-OR-A5KU-01A-11R-A29W-13"	"TCGA-OR-A5KW-01A-11R-A29W-13"	"TCGA-OR-A5KX-01A-11R-A29W-13"	"TCGA-OR-A5KY-01A-11R-A29W-13"	"TCGA-OR-A5KZ-01A-11R-A29W-13"	"TCGA-OR-A5LD-01A-11R-A29W-13"	"TCGA-OR-A5LG-01A-11R-A29W-13"	"TCGA-OR-A5LH-01A-11R-A29W-13"	"TCGA-OR-A5LJ-01A-11R-A29W-13"	"TCGA-OR-A5LK-01A-11R-A29W-13"	"TCGA-OR-A5LL-01A-11R-A29W-13"	"TCGA-OR-A5LN-01A-11R-A29W-13"	"TCGA-OR-A5LO-01A-11R-A29W-13"	"TCGA-OR-A5LP-01A-11R-A29W-13"	"TCGA-OR-A5LS-01A-11R-A29W-13"	"TCGA-OR-A5LT-01A-11R-A29W-13"	"TCGA-OU-A5PI-01A-12R-A29W-13"	"TCGA-PA-A5YG-01A-11R-A29W-13"	"TCGA-PK-A5H9-01A-11R-A29W-13"	"TCGA-PK-A5HA-01A-11R-A29W-13"
"hsa-mir-433"	2	217	2177	108	256	0	193	1438	3	80	1	7	5	0	5	1	4	97	1051	348	91	3	223	4	925	900	10	503	1856	178	3	39	6	23	421	974	4	226	22	108	4	537	21
"hsa-mir-450a-1"	554	462	74	135	105	85	1230	84	77	146	14	113	291	305	27	157	46	280	99	153	338	394	185	177	1003	193	203	183	214	78	416	66	333	137	22	468	66	229	158	330	22	67	177
"hsa-mir-450a-2"	511	465	75	139	92	106	1164	98	78	168	14	132	279	324	25	149	39	231	97	150	321	442	201	174	922	190	187	183	220	102	386	62	342	110	19	456	53	212	155	349	18	58	154
"hsa-mir-450b"	2557	1608	217	580	213	352	4280	292	281	623	72	695	810	1557	170	456	249	1078	390	522	1142	1521	808	418	3711	393	726	793	495	211	1403	137	1191	318	74	1729	326	512	475	841	72	337	743
"hsa-mir-451"	671	2317	4706	4130	34502	768	3124	1078	884	1356	212	352	1712	2380	1424	7331	1024	12373	760	1111	10201	745	2385	9403	1428	688	356	2815	820	781	27893	305	1723	922	2344	8080	436	20607	469	241	1236	2187	471
"hsa-mir-452"	192	42	161	11	349	60	31	83	455	57	314	18	31	9354	153	66	48	9	58	25	19	53	55	84	35	517	60	88	31	151	41	21	633	377	502	106	81	21	114	120	50	1444	45
"hsa-mir-454"	80	16	18	48	51	49	76	72	37	79	28	47	26	86	46	146	46	118	70	46	26	43	42	103	23	177	59	221	185	29	14	9	31	42	102	46	20	39	66	42	44	45	47
"hsa-mir-455"	2481	2412	82	100	1070	1406	7404	65	3060	1145	1103	263	4453	128	2162	5485	1539	111	1717	108	1810	4865	1836	1743	4524	834	5367	2962	2660	1117	391	1292	639	1819	855	1670	156	1888	1102	1908	960	2080	157
"hsa-mir-466"	12	2	1	0	5	1	6	2	195	9	116	38	0	26	33	34	11	51	26	0	53	6	3	10	2	0	3	6	1	5	2	0	122	11	59	0	6	0	34	2	61	0	49
"hsa-mir-483"	5061	338	12976	15250	11334	1873	5697	11657	12203	2445	7723	1938	1710	20487	14824	28	15687	17388	55742	4318	22	6614	8216	3044	5854	7153	9345	16730	23580	11086	5425	36	7095	98	10872	7911	1009	4349	11376	193	590	24926	10757
"hsa-mir-484"	191	557	243	869	393	385	832	290	467	1063	335	451	540	373	492	403	373	421	928	153	481	635	465	500	636	690	378	572	955	481	315	90	218	199	335	899	170	712	442	136	394	272	193
"hsa-mir-485"	9	3361	1273	702	273	0	1799	844	4	625	2	9	10	5	4	2	11	401	6764	278	483	6	2673	11	2197	2312	8	446	880	722	13	347	19	234	615	2779	7	1249	243	525	6	958	13
"hsa-mir-486"	268	1066	1791	2663	4815	355	645	270	309	278	171	138	652	742	3300	1820	942	5716	731	325	2377	270	766	2733	579	161	131	461	129	335	7742	98	459	373	1100	2201	317	5915	166	112	569	962	167
"hsa-mir-487a"	1	401	659	301	128	0	647	194	1	276	0	2	3	3	2	1	1	84	615	149	174	4	467	6	1006	513	1	322	732	219	0	81	7	43	180	1517	3	530	34	264	3	166	6
"hsa-mir-487b"	22	1929	4435	2468	359	3	1884	1606	7	938	4	8	13	11	9	5	26	395	3294	1123	636	8	2975	9	4109	3471	17	981	2534	1228	10	405	32	256	1094	6532	11	2338	215	975	8	2803	26
"hsa-mir-488"	223	30	0	3	0	141	20	3	10	56	3	19	31	27	1	52	10	28	7	56	53	21	13	45	10	0	51	29	94	7	14	21	2	30	0	127	0	80	16	15	24	0	2
"hsa-mir-489"	0	0	1	0	0	0	1	0	7	0	0	11	0	1	0	0	2	0	0	0	3	0	0	1	0	7	1	0	1	1	2	0	22	0	12	0	0	0	1	2	115	0	13
"hsa-mir-490"	1	20	0	5	1	33	83	17	5	0	3	17	10	28	0	0	8	150	7	1	4	3	2	4	32	0	10	0	0	0	19	0	26	8	15	10	6	0	2	1	13	0	19
"hsa-mir-491"	26	22	16	16	8	9	47	11	22	8	9	4	15	21	21	25	8	6	22	6	17	45	23	18	10	2	21	21	31	9	9	16	11	29	38	30	7	16	51	19	21	14	33
"hsa-mir-493"	32	1094	13593	3853	1618	4	1842	4361	16	2454	13	30	63	36	25	13	27	622	4382	1243	246	37	4996	50	4532	4012	52	3197	5034	1179	26	123	57	560	1689	634	25	320	160	298	9	6109	94
"hsa-mir-494"	4	296	250	233	148	0	425	193	3	370	0	2	3	5	2	1	2	107	483	74	110	1	430	5	316	207	2	336	771	151	4	92	12	10	126	497	1	238	29	150	2	191	5
"hsa-mir-495"	20	2252	2374	1408	465	2	3183	1477	10	1381	9	12	20	40	12	4	24	193	4572	533	793	12	2617	42	3280	2613	26	724	57	794	18	310	14	320	383	3560	14	1908	207	1011	12	1466	18
"hsa-mir-496"	4	413	746	413	118	3	598	460	1	411	2	5	4	2	3	4	6	143	833	240	117	4	873	3	1267	407	2	659	364	248	2	138	8	59	299	1717	3	1187	50	352	2	1523	10
"hsa-mir-497"	146	245	20	39	20	16	98	37	24	49	7	10	42	16	4	365	13	11	11	17	341	60	164	123	109	11	73	25	42	42	34	36	75	35	459	186	35	18	8	107	133	86	39
"hsa-mir-499"	1236	2	1	0	0	2	3	0	2	6	1	6	3	10	3	138	1	3	6	165	14	9	0	148	1	6	2	45	0	8	0	25	0	0	4	1	4	1	2	1	2	3	1
"hsa-mir-500a"	2561	1696	1243	4387	6586	1834	5007	1688	3356	1124	1714	3596	1691	3047	2046	845	4286	4692	4244	259	796	3479	1564	1286	2443	3171	3079	2403	1693	2670	2712	492	6766	3133	5100	3100	1677	1698	2360	3267	4076	4770	3968
"hsa-mir-500b"	55	64	26	75	129	87	163	29	47	36	31	73	51	86	66	37	95	100	125	8	21	86	39	60	61	68	56	41	37	76	80	10	97	69	72	120	45	37	66	126	94	83	63
"hsa-mir-501"	377	320	193	757	934	73	847	416	575	181	374	574	186	592	592	128	775	782	1042	46	130	275	281	224	589	442	576	445	483	294	510	51	626	229	125	589	202	198	408	429	447	1534	451
"hsa-mir-502"	71	46	20	57	96	40	100	26	39	38	37	59	41	34	45	47	58	96	91	8	25	56	24	52	34	29	40	48	19	49	62	11	71	97	74	74	27	42	52	73	106	142	74
"hsa-mir-503"	4635	1147	1364	14172	3169	3629	1087	11962	4291	2349	491	1470	2113	5907	2420	670	2414	6306	3031	1719	241	3345	3686	1391	6651	26914	6538	16399	1775	7027	1102	561	8832	1439	129	10421	1341	3360	6520	1763	381	4174	9579
"hsa-mir-504"	15	0	1	0	5	0	9	1	0	2	4	7	1	10	1	0	1	10	28	16	0	1	0	11	5	0	2	0	4	0	0	4	0	0	1	1	0	0	5	4	2	3	0
"hsa-mir-505"	221	109	93	99	392	186	323	142	240	106	189	207	167	92	310	934	242	159	502	359	158	210	218	182	86	140	160	102	223	185	146	190	345	150	228	346	87	123	254	312	277	150	335
"hsa-mir-506"	651	1537	290	29	5	4	6622	18	6543	165	3163	4016	3338	763	3604	1440	4326	1516	1207	5	523	2607	4861	1725	1561	23	46	3015	18	986	11208	33	9873	263	6928	5061	2975	201	5197	694	2185	3333	4587
"hsa-mir-507"	150	162	73	2	0	0	1117	3	1406	18	451	1179	353	91	656	347	497	139	202	4	152	425	481	424	196	6	13	358	6	146	869	6	1010	29	1000	946	231	40	1320	91	224	429	747
"hsa-mir-508"	39001	90199	25099	2067	497	198	404725	1857	417229	11994	311380	236684	307798	39827	458917	85669	380965	51182	138228	1210	41962	212426	338355	115848	120158	2097	4085	158972	1206	70999	553257	2893	594653	26130	275732	303603	91437	12184	531487	46696	44275	200591	170279
"hsa-mir-509-1"	1717	8908	1625	161	55	23	34464	116	26427	1171	23400	13713	19362	3834	33322	11229	18003	3263	11814	158	2875	11586	29420	9618	10404	197	342	19181	59	5695	42563	233	38173	2140	17124	37373	5517	745	27738	3442	2146	12876	7993
"hsa-mir-509-2"	1808	8952	1664	143	50	25	33951	145	26120	1255	23089	13814	19428	3742	33606	11167	17892	3232	11978	164	2927	11471	29132	9684	10313	201	328	19109	62	5727	42790	241	38238	2174	17068	37248	5552	780	27919	3526	2178	12715	7866
"hsa-mir-509-3"	1942	9856	1846	162	52	35	34671	131	30977	1428	25904	14714	25529	4020	36603	14094	19438	4560	13638	160	2813	13799	32540	10569	11197	224	360	20775	77	6251	50602	318	43662	2477	24681	39823	6838	970	37389	4332	2955	19149	9440
"hsa-mir-510"	28	38	13	0	1	0	195	0	194	7	138	193	93	20	166	52	184	40	46	0	34	103	121	47	49	2	1	59	0	34	292	1	317	13	242	183	109	3	223	26	83	113	183
"hsa-mir-511-1"	17	17	40	9	78	2	10	7	7	17	2	3	2	5	9	13	9	1	6	3	14	2	5	26	31	5	4	8	0	18	37	2	44	51	15	6	2	8	8	10	42	19	83
"hsa-mir-511-2"	11	20	52	4	86	0	11	9	5	20	1	2	2	1	10	5	7	1	4	4	16	11	6	25	23	4	3	9	0	25	20	2	54	51	6	4	5	4	1	4	32	21	88
"hsa-mir-513a-1"	73	108	33	3	6	0	765	1	1158	7	387	769	406	61	405	199	348	190	206	2	61	330	372	122	116	5	6	139	1	84	538	3	1057	15	970	163	214	29	1385	58	132	294	503
"hsa-mir-513a-2"	65	122	30	4	1	0	822	2	1225	9	402	839	418	62	471	249	382	205	202	0	80	394	367	122	120	1	6	138	1	77	561	1	1151	6	1004	216	244	19	1411	63	158	330	572
"hsa-mir-513b"	58	107	78	1	6	1	1245	3	735	19	223	764	275	65	288	417	353	166	156	1	150	291	394	176	133	4	3	252	1	116	780	5	968	21	874	249	192	18	691	68	170	244	643
"hsa-mir-513c"	220	309	163	5	13	1	7008	11	2875	39	686	1279	1119	193	1332	1357	1264	404	521	7	665	1281	1256	800	483	15	39	753	1	506	3018	10	2694	37	1723	893	590	65	3074	341	706	606	1895
"hsa-mir-514-1"	4846	16414	3936	222	68	27	32132	170	46964	1713	20592	30914	33972	3002	32679	7502	32226	12473	14308	96	2784	19114	52986	15345	18141	196	514	16793	86	6640	82341	253	103353	3032	69213	35549	25317	1096	82458	5269	11963	21813	37568
"hsa-mir-514-2"	4884	16546	4096	196	68	23	31839	144	47232	1714	20608	30703	33754	2967	32584	7617	32047	12450	14006	128	2914	19044	52865	15490	18068	200	557	16681	82	6719	82200	236	103447	2895	68935	35578	25602	1029	82715	5284	11845	21824	37468
"hsa-mir-514-3"	4897	16708	3955	233	54	25	31789	174	47289	1706	20574	30784	33905	2982	32760	7896	31890	12617	14094	117	2882	18904	52842	15421	18125	168	471	16763	92	6751	82739	254	103212	3041	68441	35651	25437	1044	82176	5147	12016	21835	37434
"hsa-mir-514b"	92	83	147	3	3	0	6263	1	659	6	256	1007	124	123	368	802	276	65	160	7	511	167	409	483	216	11	18	664	3	192	1350	6	634	19	351	257	92	19	574	132	300	305	542
"hsa-mir-516a-1"	16	0	25	0	0	0	14	0	0	0	0	22	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-516a-2"	14	0	21	0	2	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	14	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"hsa-mir-516b-1"	10	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"hsa-mir-517a"	36	0	0	0	0	0	45	0	0	0	0	41	0	3	0	0	0	0	0	0	44	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"hsa-mir-517b"	36	0	0	0	0	0	45	0	0	0	0	41	0	3	0	0	0	0	0	0	44	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"hsa-mir-518b"	16	0	0	0	1	0	11	0	1	0	0	16	0	0	0	0	1	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"hsa-mir-518c"	26	0	0	0	0	0	19	0	0	0	0	34	0	0	0	0	0	0	0	0	15	0	0	1	0	0	3	0	0	0	0	1	1	0	1	0	0	1	0	2	0	0	0
"hsa-mir-518f"	6	0	0	0	1	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1
"hsa-mir-519a-1"	11	0	48	0	2	0	10	0	1	0	2	9	0	0	1	0	0	0	0	0	8	0	0	0	2	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1
"hsa-mir-519a-2"	15	0	4	0	1	0	10	0	0	0	0	17	0	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"hsa-mir-520a"	21	0	1	0	0	0	17	0	1	0	0	22	0	0	1	0	0	0	0	1	12	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-525"	5	0	1	0	0	0	8	1	1	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-526b"	82	0	1	0	3	0	59	0	2	0	0	99	0	1	1	0	0	0	0	0	70	2	0	1	1	0	6	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	2
"hsa-mir-532"	5869	3950	2297	8420	6135	6873	8125	2807	5775	4123	7593	8955	6408	3524	5746	2378	7550	10515	18385	1026	1856	6894	3106	2847	5473	3411	4513	3828	1493	5683	7627	1742	7078	8136	7983	9253	3222	4280	6871	7512	9408	19827	7916
"hsa-mir-539"	33	3657	3991	3280	627	6	2157	3298	15	1615	6	24	21	25	17	10	25	777	5664	1864	1622	24	4272	24	6425	4395	21	1239	2116	1365	17	625	45	447	1418	8821	22	3631	354	2907	23	3535	54
"hsa-mir-541"	0	171	414	199	98	0	186	595	1	106	1	2	1	5	4	4	1	32	208	266	55	2	110	0	415	184	1	492	714	36	0	20	1	8	99	530	3	130	13	37	1	186	4
"hsa-mir-542"	26479	22480	5345	7863	3259	7856	32307	4217	4047	7941	1651	7999	11940	18740	2353	4257	2943	15170	6084	8837	5752	12043	10407	6975	65352	11101	7932	12550	6195	2654	34801	2737	20480	4985	1091	42494	4490	12557	9316	11569	1200	5641	10519
"hsa-mir-543"	2	529	429	239	66	0	597	264	3	239	1	2	3	1	4	2	1	92	1202	85	107	2	607	4	682	371	2	376	338	186	7	63	5	73	131	656	7	901	38	216	4	548	8
"hsa-mir-544"	1	6	4	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	3	0	1	0	2	1	5	0	0	2	1	4	0	1	0	0	1	3	0	1	0	1	0	3	0
"hsa-mir-545"	4	3	0	3	3	2	10	4	2	3	2	2	1	2	2	6	1	3	1	2	2	3	3	3	7	1	4	6	5	3	3	1	3	2	1	7	2	6	4	1	2	7	1
"hsa-mir-548b"	4	0	2	0	2	0	11	3	1	0	0	1	5	0	6	0	0	4	2	2	0	4	1	2	1	0	4	14	0	0	3	0	9	0	3	6	1	5	0	1	1	12	3
"hsa-mir-548j"	2	5	1	2	2	0	5	0	0	1	0	1	1	0	1	1	0	0	1	0	1	2	0	0	2	2	1	0	0	0	1	0	2	1	1	2	1	2	0	0	1	2	2
"hsa-mir-548q"	9	0	1	0	1	0	2	2	4	2	0	3	2	0	3	2	1	2	2	0	2	0	1	6	0	5	0	1	3	4	3	1	4	4	4	6	1	1	0	1	1	3	4
"hsa-mir-548s"	7	4	4	3	3	0	5	2	1	3	1	4	1	2	1	1	3	1	1	2	2	1	2	1	0	1	5	2	0	2	1	0	4	0	0	6	0	0	1	2	1	0	0
"hsa-mir-548v"	8	3	5	4	8	4	4	15	12	10	14	22	4	14	30	5	25	6	30	7	5	16	7	1	0	3	14	17	10	4	4	4	6	1	30	4	15	0	1	1	12	14	21
"hsa-mir-550a-1"	4	15	3	13	24	3	20	4	8	9	1	4	9	13	3	10	6	13	7	2	16	4	10	9	9	4	11	10	7	11	5	3	11	3	9	11	6	8	5	3	8	5	3
"hsa-mir-550a-2"	5	6	0	10	14	3	14	2	7	7	2	2	4	7	1	7	8	3	6	2	5	8	7	2	1	2	6	18	8	9	8	0	6	1	5	6	2	2	3	6	12	6	3
"hsa-mir-551b"	3	2	0	0	8	0	0	2	7	0	0	9	0	0	1	0	0	2	18	0	0	0	0	0	0	0	0	2	2	0	0	0	9	0	0	0	0	1	18	1	15	1	4
"hsa-mir-552"	4	8	5	5	4	0	28	3	2	3	15	8	1	2	2	0	14	52	148	1	0	4	0	2	3	0	2	8	5	1	23	0	3	1	4	4	5	1	0	1	17	2	107
"hsa-mir-561"	34	0	4	14	6	4	9	36	16	6	13	3	12	5	7	5	2	11	14	3	4	19	13	3	10	0	18	39	29	6	3	2	9	1	13	6	8	6	9	2	19	7	1
"hsa-mir-570"	13	1	0	1	6	0	2	4	4	0	0	2	2	2	2	1	0	1	3	2	0	1	5	3	0	3	1	5	9	2	0	2	6	2	6	4	1	2	2	1	1	2	5
"hsa-mir-574"	1598	307	953	1114	1508	883	1328	464	663	571	279	544	913	1844	340	1027	147	323	552	953	1182	773	692	721	558	804	938	400	1559	389	370	397	494	467	552	562	230	665	849	751	269	356	278
"hsa-mir-576"	162	55	42	91	134	32	240	157	65	53	23	46	59	181	36	173	35	55	151	22	69	97	87	88	102	53	69	174	153	55	58	14	70	54	82	110	28	54	33	20	54	49	62
"hsa-mir-577"	0	0	0	0	0	2	14	1	0	0	0	111	1	65	1	1	0	1	1	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	0	1	0	5	1	0	5	1
"hsa-mir-579"	3	4	0	3	6	0	6	3	3	5	0	0	3	5	2	3	3	1	3	1	4	2	2	1	3	3	0	7	3	2	0	0	4	0	0	2	0	2	2	4	1	0	1
"hsa-mir-580"	4	2	2	2	3	0	6	1	2	3	0	1	1	2	1	0	1	4	6	2	2	4	1	0	3	2	1	4	2	2	2	0	2	0	0	5	1	1	2	0	2	1	0
"hsa-mir-581"	6	3	3	6	8	1	21	4	8	5	4	6	10	9	4	8	8	5	7	4	2	15	3	2	4	2	8	26	6	6	5	0	7	4	9	2	9	2	5	7	5	3	3
"hsa-mir-582"	365	41	193	118	6530	320	104	451	154	69	52	164	66	3756	50	50	176	56	82	1063	124	67	86	67	101	81	202	107	45	117	87	67	174	113	130	85	145	104	452	84	2670	292	178
"hsa-mir-584"	193	114	280	368	329	107	129	131	123	144	97	101	114	120	80	43	124	109	105	50	125	109	131	93	71	96	110	76	41	85	190	44	3182	179	177	111	89	257	41	86	155	109	218
"hsa-mir-585"	5	2	0	1	1	2	3	1	6	17	6	1	3	1	16	20	14	1	1	0	2	1	1	2	2	0	3	0	2	1	0	2	6	1	0	2	4	0	3	1	18	3	0
"hsa-mir-589"	826	287	95	272	289	112	940	107	296	463	217	227	310	944	211	352	516	668	354	223	335	755	240	241	267	74	462	276	322	212	264	139	527	159	368	281	351	256	235	223	751	144	297
"hsa-mir-590"	223	74	27	56	118	47	291	70	74	123	29	88	76	148	65	86	127	116	91	33	74	139	82	79	68	50	139	201	836	92	103	34	81	69	123	147	37	45	23	45	136	42	97
"hsa-mir-592"	2	2	0	0	7	14	7	1	11	1	22	9	0	2	13	0	1	34	90	0	6	6	3	0	1	32	5	5	2	0	0	0	140	0	2	0	7	2	6	6	6	1	23
"hsa-mir-598"	382	139	471	234	69	1302	1521	332	811	282	837	999	255	609	456	13	539	554	1645	301	119	469	363	280	941	697	680	189	786	91	496	67	341	140	795	2162	179	150	113	217	187	307	214
"hsa-mir-605"	2	2	1	2	8	0	0	1	13	0	7	5	4	1	19	3	4	3	36	0	0	1	5	1	1	2	2	0	0	5	2	0	8	2	19	0	7	2	15	3	3	2	2
"hsa-mir-607"	2	2	8	13	5	2	1	2	2	1	0	0	8	18	1	8	1	2	1	3	5	3	2	4	8	2	6	2	2	0	1	2	3	0	1	3	0	7	3	6	0	1	1
"hsa-mir-615"	3	13	1	12	49	19	146	49	3	7	0	14	4	19	0	19	1	24	10	6	4	42	7	20	13	40	45	3	84	22	3	2	8	8	0	43	0	5	2	12	6	13	1
"hsa-mir-616"	679	28	24	80	110	11	76	61	54	19	57	87	20	77	66	34	73	79	93	16	55	52	13	13	28	17	97	24	25	30	20	11	31	30	67	23	57	13	26	18	84	24	52
"hsa-mir-618"	4	2	0	2	6	4	2	9	0	3	4	0	3	14	2	1	0	0	4	21	0	3	5	3	1	0	2	37	0	1	1	0	0	0	3	0	5	4	3	3	8	0	1
"hsa-mir-624"	7	5	2	4	6	2	6	18	3	8	2	4	3	3	1	7	2	5	4	1	2	10	6	6	2	11	4	5	6	4	8	0	8	2	0	3	4	10	1	1	6	4	6
"hsa-mir-625"	912	946	175	449	627	578	1248	731	912	1822	459	366	1597	645	1369	325	1009	1440	2662	73	423	758	908	835	430	605	774	366	1270	130	473	259	856	111	793	1927	1285	904	626	1033	1193	313	1554
"hsa-mir-627"	13	2	2	2	5	0	27	1	5	4	0	8	6	2	5	8	10	6	5	4	16	2	6	12	8	3	5	4	3	4	7	2	6	4	10	4	10	2	4	5	75	1	10
"hsa-mir-628"	161	70	52	38	83	40	135	25	29	69	20	28	22	108	54	112	49	75	36	10	77	31	30	37	86	29	48	27	64	21	26	3	28	23	61	113	30	20	24	13	23	96	28
"hsa-mir-629"	257	240	31	170	247	28	435	291	73	212	99	202	105	175	135	20	191	176	160	68	115	201	153	133	195	43	188	51	17	252	100	55	234	90	51	209	68	36	27	67	181	41	83
"hsa-mir-636"	7	3	1	9	2	7	7	16	3	4	1	6	0	5	2	4	0	2	0	4	4	1	1	9	6	6	10	6	12	1	4	1	2	0	6	4	1	2	1	8	0	2	2
"hsa-mir-639"	2	0	0	2	0	1	3	1	1	0	1	0	4	1	1	4	0	0	0	1	4	4	4	0	3	0	2	5	0	4	1	2	5	1	4	2	1	2	5	1	3	2	8
"hsa-mir-642a"	13	7	38	19	15	3	61	12	2	10	1	11	26	24	0	2	28	8	1	9	5	15	6	13	11	69	14	2	4	3	10	6	6	1	7	7	5	11	1	5	13	31	9
"hsa-mir-643"	7	2	4	8	2	3	19	4	5	5	0	6	7	2	2	3	4	12	3	2	1	3	5	3	15	1	11	8	7	0	2	7	4	1	3	7	6	5	4	1	5	1	7
"hsa-mir-651"	18	4	11	2	5	15	110	17	16	23	33	15	27	28	40	13	23	42	145	4	12	13	27	17	38	20	9	27	21	7	24	4	30	9	33	50	13	6	7	10	24	23	12
"hsa-mir-652"	105	128	68	64	57	85	143	48	75	83	129	142	62	82	77	209	54	151	177	38	35	66	46	125	53	169	73	90	172	56	505	20	164	57	113	657	39	106	76	37	220	72	114
"hsa-mir-653"	32	33	39	11	55	15	10	53	461	3	13	386	13	73	36	10	23	40	31	1	29	63	15	5	20	34	89	9	9	50	36	2	1158	25	767	16	121	3	35	123	569	74	245
"hsa-mir-654"	57	2288	7009	4298	2128	13	5030	2476	17	2270	21	44	40	20	23	14	49	919	10373	1413	2875	48	5497	41	6527	2788	71	2533	4404	2283	30	1360	73	206	1614	3673	30	4393	380	1855	19	4951	76
"hsa-mir-655"	5	512	587	489	195	0	869	272	1	549	0	6	3	7	2	0	3	111	811	170	179	3	665	12	798	457	7	339	608	242	4	153	5	98	198	1746	2	539	54	169	6	257	6
"hsa-mir-656"	1	152	202	165	26	1	241	86	2	166	1	0	1	2	0	1	2	62	201	31	67	0	137	2	297	97	0	95	236	87	0	26	0	17	82	439	0	194	18	79	0	153	2
"hsa-mir-659"	11	3	4	5	2	2	4	4	5	16	1	10	5	2	6	8	4	6	7	1	8	6	1	7	8	7	6	2	6	12	0	4	3	15	4	5	4	5	7	2	7	8	4
"hsa-mir-660"	388	343	183	581	490	610	625	204	435	302	420	650	530	274	430	187	562	1159	1177	81	95	419	310	425	401	346	238	324	123	331	862	99	716	686	689	1174	293	479	411	617	869	1601	845
"hsa-mir-663"	0	0	2	1	0	4	1	2	1	1	0	1	0	2	0	0	1	2	0	7	2	3	0	1	0	4	0	68	2	1	1	1	1	0	4	2	0	1	1	0	0	2	1
"hsa-mir-664"	583	825	312	84	213	334	765	492	1262	494	383	1456	665	525	1137	393	815	665	1141	211	432	578	389	465	983	324	403	215	275	649	645	141	1044	637	1230	1319	512	801	560	582	705	304	824
"hsa-mir-665"	2	11	26	7	8	0	10	8	0	10	0	0	2	0	0	0	0	0	29	6	10	0	5	0	15	3	2	12	50	2	0	6	0	1	6	5	0	10	0	9	0	15	0
"hsa-mir-668"	0	47	274	10	21	0	50	99	0	19	0	0	0	0	1	0	1	10	62	21	17	0	29	1	65	105	0	54	114	6	0	4	2	3	46	206	0	8	5	3	0	117	1
"hsa-mir-670"	1	10	0	0	0	1	9	0	0	0	0	2	0	0	0	0	4	0	1	0	0	5	1	7	4	0	0	0	0	3	0	0	0	5	0	2	0	0	0	0	2	0	0
"hsa-mir-671"	72	145	19	91	72	100	218	117	66	250	37	70	170	127	83	81	82	83	74	45	75	142	70	91	143	77	193	128	131	33	71	73	51	92	71	201	36	130	72	117	79	32	42
"hsa-mir-675"	46	181	6049	37	116	14	107	183	55	2745	11	24	56	50	18	54	8	6	914	196	154	66	35	534	146	6279	44466	73	15	902	21	5	12	844	22	53	9	6	42	57	4	252	26
"hsa-mir-676"	208	50	38	34	17	40	209	68	198	35	37	127	77	192	232	100	208	206	191	26	96	147	41	121	15	91	42	99	37	37	108	32	184	8	84	263	109	49	139	129	384	94	175
